,id_bairro,bairro
0,1,CENTRO
1,2,RODOVIA AL 470
2,3,COMENDADOR TÉRCIO WANDERLEY
3,4,PAJUÇARA
4,5,TRAPICHE DA BARRA
5,6,LEVADA
6,7,TABULEIRO DOS MARTINS
7,8,NOVO HORIZONTE
8,9,FAROL
9,10,-
10,11,CENTRO 
11,12,RIO NOVO
12,13,BOA VISTA
13,14,BENEDITO BENTES
14,15,BRASÍLIA
15,16,POVOADO PORANGABA
16,17,RODOVIA
17,18,IPIOCA
18,19,JOÃO JOSÉ PEREIRA
19,20,POVOADO
20,21,POVOADO BRANCA DE ATALAIA
21,22,BOM PARTO
22,23,POVOADO BARRA DO IPANEMA
23,24,POVOADO RESTINGA
24,25,FAZENDA BREJO
25,26,FAZENDA TINGUIJADA
26,27,POVOADO OLARIA - ANTIGO SÍTIO
27,28,FAZENDA
28,29,VERGEL DO LAGO
29,30,RIACHO DOCE
30,31,CHÃ DE BEBEDOURO
31,32,PONTA VERDE
32,33,SITIO
33,34,SÍTIO
34,35,FAZENDA LAGOA GRANDE
35,36,ELDORADO
36,37,POVOADO CANAÃ
37,38,VILA BANANEIRA
38,39,CLIMA BOM
39,40,CRAÍBAS
40,41,POVOADO BAIXA DO MILHO
