,id_denominacao,denominacao
0,1, 7ª DELEGACIA REGIONAL DE POLÍCIA
1,2, ÁREA DE TERRA
2,3, ESCOLA ESTADUAL DELMIRO GOUVEIA -  ANTIGO GRUPO ESCOLAR DELMIRO GOUVEIA
3,4,104º DISTRITO POLICIAL DE ATALAIA - ANTIGA DELEGACIA DE POLICIA DO 7º DISTRITO POLICIAL DE ATALAIA
4,5,11ª DELEGACIA REGIONAL DE POLÍCIA
5,6,13ª CIRETRAN
6,7,13ª COORDENADORIA REGIONAL DE ENSINO - ANTIGA ESCOLA ESTADUAL DIEGUES JÚNIOR
7,8,18º DELEGACIA DE POLICIA
8,9,1º BATALHÃO DA POLÍCIA MILITAR DE ALAGOAS
9,10,1º CENTRO DE SAÚDE
10,11,2ª COMPANHIA DO 7º BATALHÃO DA POLÍCIA MILITAR DE ALAGOAS
11,12,2º DISTRITO POLICIAL DA 10ª REGIÃO E GPM
12,13,2º DISTRITO POLICIAL DA 8ª REGIONAL
13,14,38 - B LOTES - LOTEAMENTO NUPORANGA
14,15,3º DISTRITO POLICIAL DA 8ª REGIONAL
15,16,3º GRUPAMENTO DA POLÍCIA MILITAR E 7º CORPO DE BOMBEIROS MILITAR
16,17,4º BATALHÃO DA POLÍCIA MILITAR E BATALHÃO DE TRÂNSITO E SUBSTITUIÇÃO DE MOTOS E MECANIZAÇÃO
17,18,4º CENTRO DE SAÚDE FRANCISCO PEREIRA LIMA
18,19,5ª DELEGACIA DE POLÍCIA DA 8ª REGIONAL
19,20,5º DISTRITO DA 10ª REGIÃO DE POLÍCIA
20,21,6ª COORDENADORIA REGIONAL DA SAÚDE
21,22,6ª DELEGACIA DE POLÍCIA DA 3ª REGIÃO
22,23,6º DISTRITO POLICIAL DA 8ª REGIÃO
23,24,71 LOTES - LOTEAMENTO NUPORANGA
24,25,7ª CRAF - CHEFIA REGIONAL DE ADMINISTRAÇÃO FAENDÁRIA
25,26,7ª DELEGACIA DE POLÍCIA DA 6ª REGIONAL
26,27,8º BATALHÃO DE POLÍCIA MILITAR DE ALAGOAS
27,28,96º DISTRITO POLICIAL DE JAPARATINGA - ANTIGA DELEGACIA DO 7º DISTRITO POLICIAL DA 1ª REGIÃO
28,29,9º DISTRITO POLICIAL DA 5ª REGIONAL
29,30,9º GRUPAMENTO DE BOMBEIRO MILITAR
30,31,AEROPORTO
31,32,ALMOXARIFADO  - CASAL
32,33,AMBULATÓRIO 24 HORAS DENILMA BULHÕES
33,34,AMBULATÓRIO 24 HORAS E UNIDADE DE SAÚDE DA FAMÍLIA II - ANTIGO POSTO MÉDICO PADRE CÍCERO
34,35,AMBULATÓRIO 24H E CASA DE PARTO NORMAL
35,36,AMBULATÓRIO DE HEMATOLOGIA DO HEMOAL - ANTIGO HOSPITAL DIA
36,37,AMBULATÓRIO VIRGÍNIA TENÓRIO
37,38,AMPLIAÇÃO E MODERNIZAÇÃO DA RODOVIA AL 220
38,39,ANTIGA BOMBA DE ABASTECIMENTO DE COMBUSTÍVEL
39,40,ANTIGA CRECHE DE IPIOCA
40,41,ANTIGA ESCOLA DE 1º GRAU FLORA GUIMARÃES
41,42,ANTIGA ESCOLA DE 1º GRAU IPIRANGA
42,43,ANTIGA ESCOLA ESTADUAL DR. JOÃO CARLOS DE ALBUQUERQUE
43,44,ANTIGA ESCOLA ESTADUAL DR. SILVESTRE PÉRICLES
44,45,ANTIGA ESCOLA ESTADUAL FRANCISCO DOMINGUES - ANTIGA ESCOLA DE 1º GRAU FRANCISCO DOMINGUES
45,46,ANTIGA ESCOLA ESTADUAL GOVERNADOR GERALDO BULHÕES BARROS
46,47,ANTIGA ESCOLA ISOLADA DE BARRA DO IPANEMA
47,48,ANTIGA ESCOLA ISOLADA ESTADUAL DE RESTINGA
48,49,ANTIGA ESCOLA ISOLADA LUIZ DE FRANÇA CERQUEIRA
49,50,ANTIGA ESCOLA ISOLADA TINGUIJADA
50,51,ANTIGA ESCOLA MUNICIPAL 15 DE NOVEMBRO - ANTIGA ESCOLA ESTADUAL DE OLARIA
51,52,ANTIGA ESTAÇÃO DE TRATAMENTO DE ÁGUA E.T.A.
52,53,ANTIGA ESTAÇÃO ELEVATÓRIA DE ÁGUA - DESATIVADA
53,54,ANTIGA LAVANDERIA PÚBLICA DO VERGEL
54,55,ANTIGA SECRETARIA DE ESTADO DA COMUNICAÇÃO
55,56,ANTIGA SECRETARIA DE ESTADO DA EDUCAÇÃO
56,57,ANTIGA SEDE DO CLUBE DO ASSIPASEAL
57,58,ANTIGO ESCRITÓRIO COMERCIAL DA CASAL
58,59,ANTIGO POSTO DE SAÚDE CACHOEIRA VELHA
59,60,ANTIGO POSTO DE SAÚDE COMUNITÁRIO SÃO SEBASTIÃO
60,61,ANTIGO POSTO DE SAÚDE SÃO JOSÉ
61,62,ANTIGO SOPROBEM - ANTIGA FÁBRICA DE SOPA
62,63,ANTIGO-2º DISTRITO POLICIAL
63,64,"APARTAMENTO Nº 601, EDIFÍCIO CATALUÑA"
64,65,ÁREA DA CAIXA DE QUEBRA DE PRESSÃO
65,66,AREA DA ESTAÇÃO DE TRATAMENTO DE ÁGUA
66,67,AREA DO BOOSTER - CASAL
67,68,ÁREA DO BOOSTER - CASAL
68,69,ARMAZÉM - SEFAZ
69,70,ASSOCIAÇÃO DOS ESCRIVÃES DA POLÍCIA - AEPOL - ANTIGO SINDICATO DA POLÍCIA CIVIL - SINDPOL
70,71,ASSOCIAÇÃO DOS SERVIDORES DA EDUCAÇÃO DO ESTADO DE ALAGOAS - ASSEDUC
71,72,ASSOCIAÇÃO DOS SERVIDORES DA GERES - CASAL
72,73,ASSOCIAÇÃO DOS SERVIDORES INATIVOS DO FISCO DO ESTADO DE ALAGOAS
73,74,ASSOCIAÇÃO E CENTRO COMUNITÁRIO JOSÉ AVELINO FILHO-ANTIGA UNIDADE BASICA CANÃA
74,75,BARRAGEM
75,76,BARRAGEM - CASAL
76,77,BATALHÃO DA POLÍCIA AMBIENTAL CORONEL QOC PM NILTON ROCHA
77,78,BATALHÃO DE POLÍCIA ESCOLAR - ANTIGA RÁDIO DIFUSORA DE ALAGOAS
78,79,BIBLIOTECA PÚBLICA
79,80,BPTRAN - BATALHÃO DE POLÍCIA DE TRÂNSITO - ANTIGO ALOJAMENTO DOS ASPIRANTES
80,81,CAIXA DE PASSAGEM
81,82,CAIXA DE QUEBRA DE PRESSÃO
82,83,CAIXA DE QUEBRA DE PRESSÃO C.Q.P.
83,84,CANAL DO SERTÃO
