,id_municipio,municipio
0,1,DELMIRO GOUVEIA
1,2,CHÃ PRETA
2,3,ATALAIA
3,4,BATALHA
4,5,CORURIPE
5,6,MACEIÓ
6,7,BARRA DE SÃO MIGUEL
7,8,COLÔNIA LEOPOLDINA
8,9,CAMPO ALEGRE
9,10,BOCA DA MATA
10,11,ARAPIRACA
11,12,ANADIA
12,13,JUNDIÁ
13,14,BRANQUINHA
14,15,COQUEIRO SECO
15,16,BELÉM
16,17,JAPARATINGA
17,18,LIMOEIRO DE ANADIA
18,19,FLEXEIRAS
19,20,IBATEGUARA
20,21,JUNQUEIRO
21,22,IGREJA NOVA
22,23,BELO MONTE
23,24,CAPELA
24,25,ÁGUA BRANCA
25,26,CANAPÍ
26,27,CARNEIROS
27,28,IGACI
28,29,COITÉ DO NÓIA
29,30,INHAPÍ
