,situacao_ocupacao,total_avaliacao,bairro,denominacao,afetacao,numero_dossie,municipio,id_municipio,id_situacao,id_bairro,id_denominacao
0,OCUPADO,"141.148,37",CENTRO, 7ª DELEGACIA REGIONAL DE POLÍCIA,,4208,DELMIRO GOUVEIA,1,1,1,1
1,OCUPADO,"4.800,00",RODOVIA AL 470, ÁREA DE TERRA,,5182,CHÃ PRETA,2,1,2,2
2,OCUPADO,"1.800,00",RODOVIA AL 470, ÁREA DE TERRA,,5183,CHÃ PRETA,2,1,2,2
3,OCUPADO,"4.100,00",RODOVIA AL 470, ÁREA DE TERRA,,5184,CHÃ PRETA,2,1,2,2
4,OCUPADO,"1.100,00",RODOVIA AL 470, ÁREA DE TERRA,,5185,CHÃ PRETA,2,1,2,2
5,OCUPADO,"300,00",RODOVIA AL 470, ÁREA DE TERRA,,5186,CHÃ PRETA,2,1,2,2
6,OCUPADO,"4.700,00",RODOVIA AL 470, ÁREA DE TERRA,,5187,CHÃ PRETA,2,1,2,2
7,OCUPADO,"55.700,00",RODOVIA AL 470, ÁREA DE TERRA,,5188,CHÃ PRETA,2,1,2,2
8,OCUPADO,"7.000,00",RODOVIA AL 470, ÁREA DE TERRA,,5189,CHÃ PRETA,2,1,2,2
9,OCUPADO,"14.400,00",RODOVIA AL 470, ÁREA DE TERRA,,5190,CHÃ PRETA,2,1,2,2
10,OCUPADO,"37.300,00",RODOVIA AL 470, ÁREA DE TERRA,,5191,CHÃ PRETA,2,1,2,2
11,OCUPADO,"1.500,00",RODOVIA AL 470, ÁREA DE TERRA,,5192,CHÃ PRETA,2,1,2,2
12,OCUPADO,"5.500,00",RODOVIA AL 470, ÁREA DE TERRA,,5193,CHÃ PRETA,2,1,2,2
13,ATIVO,"290.149,91",CENTRO, ESCOLA ESTADUAL DELMIRO GOUVEIA -  ANTIGO GRUPO ESCOLAR DELMIRO GOUVEIA,,3729,DELMIRO GOUVEIA,1,2,1,3
14,OCUPADO,"8.939,44",CENTRO,104º DISTRITO POLICIAL DE ATALAIA - ANTIGA DELEGACIA DE POLICIA DO 7º DISTRITO POLICIAL DE ATALAIA,,4030,ATALAIA,3,1,1,4
15,OCUPADO,"17.619,16",CENTRO,11ª DELEGACIA REGIONAL DE POLÍCIA,,4189,BATALHA,4,1,1,5
16,OCUPADO,"109.966,26",COMENDADOR TÉRCIO WANDERLEY,13ª CIRETRAN,,3583,CORURIPE,5,1,3,6
17,OCUPADO,"693.131,67",PAJUÇARA,13ª COORDENADORIA REGIONAL DE ENSINO - ANTIGA ESCOLA ESTADUAL DIEGUES JÚNIOR,,185,MACEIÓ,6,1,4,7
18,OCUPADO,"46.083,84",CENTRO,18º DELEGACIA DE POLICIA,,4006,BARRA DE SÃO MIGUEL,7,1,1,8
19,OCUPADO,"4.115.902,92",TRAPICHE DA BARRA,1º BATALHÃO DA POLÍCIA MILITAR DE ALAGOAS,,314,MACEIÓ,6,1,5,9
20,OCUPADO,"2.272.503,29",LEVADA,1º CENTRO DE SAÚDE,,6,MACEIÓ,6,1,6,10
21,OCUPADO,"551.596,94",CENTRO,2ª COMPANHIA DO 7º BATALHÃO DA POLÍCIA MILITAR DE ALAGOAS,,3637,BATALHA,4,1,1,11
22,OCUPADO,"68.551,61",CENTRO,2º DISTRITO POLICIAL DA 10ª REGIÃO E GPM,,3993,COLÔNIA LEOPOLDINA,8,1,1,12
23,OCUPADO,"228.356,17",CENTRO,2º DISTRITO POLICIAL DA 8ª REGIONAL,,4026,CAMPO ALEGRE,9,1,1,13
24,OCUPADO,"906.776,64",TABULEIRO DOS MARTINS,38 - B LOTES - LOTEAMENTO NUPORANGA,,118,MACEIÓ,6,1,7,14
25,OCUPADO,"46.338,52",CENTRO,3º DISTRITO POLICIAL DA 8ª REGIONAL,,4054,BOCA DA MATA,10,1,1,15
26,OCUPADO,"1.663.720,52",NOVO HORIZONTE,3º GRUPAMENTO DA POLÍCIA MILITAR E 7º CORPO DE BOMBEIROS MILITAR,,3510,ARAPIRACA,11,1,8,16
27,OCUPADO,"2.082.155,14",FAROL,4º BATALHÃO DA POLÍCIA MILITAR E BATALHÃO DE TRÂNSITO E SUBSTITUIÇÃO DE MOTOS E MECANIZAÇÃO,,1,MACEIÓ,6,1,9,17
28,OCUPADO,"58.938,54",-,4º CENTRO DE SAÚDE FRANCISCO PEREIRA LIMA,,3487,ARAPIRACA,11,1,10,18
29,OCUPADO,"15.102,55",CENTRO,5ª DELEGACIA DE POLÍCIA DA 8ª REGIONAL,,4014,ANADIA,12,1,1,19
30,OCUPADO,"29.549,14",CENTRO,5º DISTRITO DA 10ª REGIÃO DE POLÍCIA,,3991,JUNDIÁ,13,1,1,20
31,OCUPADO,"141.815,92",CENTRO,6ª COORDENADORIA REGIONAL DA SAÚDE,,3511,ARAPIRACA,11,1,1,21
32,OCUPADO,"109.024,28",CENTRO,6ª DELEGACIA DE POLÍCIA DA 3ª REGIÃO,,3965,BRANQUINHA,14,1,1,22
33,OCUPADO,"13.891,43",CENTRO,6º DISTRITO POLICIAL DA 8ª REGIÃO,,3976,COQUEIRO SECO,15,1,1,23
34,OCUPADO,"726.260,92",TABULEIRO DOS MARTINS,71 LOTES - LOTEAMENTO NUPORANGA,,39,MACEIÓ,6,1,7,24
35,OCUPADO,-,CENTRO ,7ª CRAF - CHEFIA REGIONAL DE ADMINISTRAÇÃO FAENDÁRIA,,5111,ARAPIRACA,11,1,11,25
36,OCUPADO,"27.804,22",CENTRO,7ª DELEGACIA DE POLÍCIA DA 6ª REGIONAL,,4072,BELÉM,16,1,1,26
37,INVADIDO,"385.436,55",RIO NOVO,8º BATALHÃO DE POLÍCIA MILITAR DE ALAGOAS,,316,MACEIÓ,6,3,12,27
38,OCUPADO,"50.599,13",CENTRO,96º DISTRITO POLICIAL DE JAPARATINGA - ANTIGA DELEGACIA DO 7º DISTRITO POLICIAL DA 1ª REGIÃO,,4010,JAPARATINGA,17,1,1,28
39,OCUPADO,"62.494,55",-,9º DISTRITO POLICIAL DA 5ª REGIONAL,,4074,LIMOEIRO DE ANADIA,18,1,10,29
40,OCUPADO,"73.406,12",-,9º GRUPAMENTO DE BOMBEIRO MILITAR,,5121,DELMIRO GOUVEIA,1,1,10,30
41,OCUPADO,"3.992.833,44",BOA VISTA,AEROPORTO,,4347,ARAPIRACA,11,1,13,31
42,OCUPADO,"13.987,84",CENTRO,ALMOXARIFADO  - CASAL,,4047,FLEXEIRAS,19,1,1,32
43,OCUPADO,"1.176.079,99",BENEDITO BENTES,AMBULATÓRIO 24 HORAS DENILMA BULHÕES,,208,MACEIÓ,6,1,14,33
44,OCUPADO,"17.014,55",BRASÍLIA,AMBULATÓRIO 24 HORAS E UNIDADE DE SAÚDE DA FAMÍLIA II - ANTIGO POSTO MÉDICO PADRE CÍCERO,,3011,COQUEIRO SECO,15,1,15,34
45,OCUPADO,"215.855,62",CENTRO,AMBULATÓRIO 24H E CASA DE PARTO NORMAL,,4021,IBATEGUARA,20,1,1,35
46,OCUPADO,"684.788,30",TRAPICHE DA BARRA,AMBULATÓRIO DE HEMATOLOGIA DO HEMOAL - ANTIGO HOSPITAL DIA,,330,MACEIÓ,6,1,5,36
47,OCUPADO,"7.846,90",POVOADO PORANGABA,AMBULATÓRIO VIRGÍNIA TENÓRIO,,3745,ATALAIA,3,1,16,37
48,OCUPADO,"350.000,00",RODOVIA,AMPLIAÇÃO E MODERNIZAÇÃO DA RODOVIA AL 220,,5204,ARAPIRACA,11,1,17,38
49,OCUPADO,"52.000,00",RODOVIA,AMPLIAÇÃO E MODERNIZAÇÃO DA RODOVIA AL 220,,5206,ARAPIRACA,11,1,17,38
50,DESOCUPADO,"104.024,36",LEVADA,ANTIGA BOMBA DE ABASTECIMENTO DE COMBUSTÍVEL,,51,MACEIÓ,6,4,6,39
51,INVADIDO,"13.497,18",IPIOCA,ANTIGA CRECHE DE IPIOCA,,277,MACEIÓ,6,3,18,40
52,DESATIVADO,"1.121.450,16",JOÃO JOSÉ PEREIRA,ANTIGA ESCOLA DE 1º GRAU FLORA GUIMARÃES,,3461,JUNQUEIRO,21,5,19,41
53,DESATIVADO,"30.099,79",POVOADO,ANTIGA ESCOLA DE 1º GRAU IPIRANGA,,3534,IGREJA NOVA,22,5,20,42
54,DESATIVADO,"167.658,75",POVOADO BRANCA DE ATALAIA,ANTIGA ESCOLA ESTADUAL DR. JOÃO CARLOS DE ALBUQUERQUE,,3057,ATALAIA,3,5,21,43
55,INVADIDO,"27.842,22",POVOADO PORANGABA,ANTIGA ESCOLA ESTADUAL DR. SILVESTRE PÉRICLES,,3032,ATALAIA,3,3,16,44
56,DESATIVADO,"106.745,65",CENTRO,ANTIGA ESCOLA ESTADUAL FRANCISCO DOMINGUES - ANTIGA ESCOLA DE 1º GRAU FRANCISCO DOMINGUES,,3438,LIMOEIRO DE ANADIA,18,5,1,45
57,DESATIVADO,"170.625,95",BOM PARTO,ANTIGA ESCOLA ESTADUAL GOVERNADOR GERALDO BULHÕES BARROS,,163,MACEIÓ,6,5,22,46
58,DESATIVADO,"18.531,97",POVOADO BARRA DO IPANEMA,ANTIGA ESCOLA ISOLADA DE BARRA DO IPANEMA,,3625,BELO MONTE,23,5,23,47
59,DESATIVADO,"19.796,40",POVOADO RESTINGA,ANTIGA ESCOLA ISOLADA ESTADUAL DE RESTINGA,,3630,BELO MONTE,23,5,24,48
60,DESATIVADO,"40.115,79",FAZENDA BREJO,ANTIGA ESCOLA ISOLADA LUIZ DE FRANÇA CERQUEIRA,,3212,ANADIA,12,5,25,49
61,INVADIDO,"4.441,66",FAZENDA TINGUIJADA,ANTIGA ESCOLA ISOLADA TINGUIJADA,,3030,CAPELA,24,3,26,50
62,DESATIVADO,"12.302,12",POVOADO OLARIA - ANTIGO SÍTIO,ANTIGA ESCOLA MUNICIPAL 15 DE NOVEMBRO - ANTIGA ESCOLA ESTADUAL DE OLARIA,,3725,ÁGUA BRANCA,25,5,27,51
63,OCUPADO,"55.187,91",FAZENDA,ANTIGA ESTAÇÃO DE TRATAMENTO DE ÁGUA E.T.A.,,4290,CAPELA,24,1,28,52
64,OCUPADO,"64.409,09",POVOADO,ANTIGA ESTAÇÃO ELEVATÓRIA DE ÁGUA - DESATIVADA,,4205,DELMIRO GOUVEIA,1,1,20,53
65,INVADIDO,"16.822,92",VERGEL DO LAGO,ANTIGA LAVANDERIA PÚBLICA DO VERGEL,,306,MACEIÓ,6,3,29,54
66,DESOCUPADO,"748.596,30",CENTRO,ANTIGA SECRETARIA DE ESTADO DA COMUNICAÇÃO,,9,MACEIÓ,6,4,1,55
67,DESOCUPADO,"3.479.627,09",CENTRO,ANTIGA SECRETARIA DE ESTADO DA EDUCAÇÃO,,178,MACEIÓ,6,4,1,56
68,DESOCUPADO,"404.197,90",RIACHO DOCE,ANTIGA SEDE DO CLUBE DO ASSIPASEAL,,278,MACEIÓ,6,4,30,57
69,DESOCUPADO,"77.018,43",CENTRO,ANTIGO ESCRITÓRIO COMERCIAL DA CASAL,,4034,CHÃ PRETA,2,4,1,58
70,DESATIVADO,"23.968,19",-,ANTIGO POSTO DE SAÚDE CACHOEIRA VELHA,,3699,CANAPÍ,26,5,10,59
71,DESOCUPADO,"8.600,46",-,ANTIGO POSTO DE SAÚDE COMUNITÁRIO SÃO SEBASTIÃO,,3082,CARNEIROS,27,4,10,60
72,DESATIVADO,"15.060,23",POVOADO,ANTIGO POSTO DE SAÚDE SÃO JOSÉ,,3773,CANAPÍ,26,5,20,61
73,DESATIVADO,"681.441,33",CHÃ DE BEBEDOURO,ANTIGO SOPROBEM - ANTIGA FÁBRICA DE SOPA,,319,MACEIÓ,6,5,31,62
74,DESOCUPADO,"57.712,52",-,ANTIGO-2º DISTRITO POLICIAL,,4086,CHÃ PRETA,2,4,10,63
75,DESOCUPADO,"445.272,15",PONTA VERDE,"APARTAMENTO Nº 601, EDIFÍCIO CATALUÑA",,222,MACEIÓ,6,4,32,64
76,OCUPADO,"56.239,91",POVOADO,ÁREA DA CAIXA DE QUEBRA DE PRESSÃO,,4218,DELMIRO GOUVEIA,1,1,20,65
77,OCUPADO,"19.240,00",SITIO,AREA DA ESTAÇÃO DE TRATAMENTO DE ÁGUA,,4222,BELO MONTE,23,1,33,66
78,OCUPADO,"20.151,53",SÍTIO,AREA DO BOOSTER - CASAL,,4195,IGACI,28,1,34,67
